perf_key,song_name,tempo
360_35435057,hey there delilah,103.973
360_26934219,closing time,92.124
360_35435961,burn,184.353
360_36313263,burn,184.353
360_35352936,as long as you love me,139.691
360_28869961,all star,104.034
360_40568006,toxic,143.04
360_36313664,want u back,97.939
360_37179345,happy,83.096
360_21740786,all the small things,148.726
67982109_30599969,super bass,126.991
67982109_30565735,hallelujah,147.986
67982109_38757010,valerie,96.095
67982109_29601319,hush little baby,77.728
67982109_38759052,more than this,151.978
67982109_31286272,let it go,147.464
67982109_38753464,wanted,169.784
67982109_30650465,bubbly,127.97
67982109_30564791,pompeii,127.435
67982109_31567373,just the way you are,109.012
68307032_39371033,young girls,145.992
68307032_37611136,demons,89.938
68307032_46688227,ill be,159.909
68307032_37628522,let her go,74.897
68307032_39376090,cups pitch perfect,129.964
68307032_37606632,let her go,74.897
68307032_49471172,hey there delilah,103.973
68307032_46663958,ill be,159.909
68307032_46854321,hey there delilah,103.973
68307032_37623498,say something great big,141.284
68366569_26384659,kiss me ,149.936
68366569_47718068,bubbly,127.97
68366569_40174715,home phillip phillips,121.029
68366569_47715725,if i aint got you,118.393
68366569_40173512,bubbly,127.97
68366569_28940318,cups pitch perfect,129.964
68366569_39548661,let it go,147.464
68366569_40173111,bubbly,127.97
68366569_39548632,let it go,147.464
68366569_40173934,let it go,147.464
68430397_23580182,total eclipse of heart,130.276
68430397_23578723,the rose,106.05
68430397_30457189,the rose,106.05
68430397_23577421,wind beneath my wings,123.694
68430397_50220517,crazy patsy,107.765
68430397_50226294,achy breaky heart,121.798
68430397_50224233,girls just want have fun,120.372
68430397_23592085,on my own,112.663
68430397_37207004,crazy patsy,107.765
68430397_37209842,achy breaky heart,121.798
68500763_47792113,songbird,184.298
68500763_41807236,from this moment,135.803
68500763_34592807,songbird,184.298
68500763_35809367,say something great big,141.284
68500763_30671765,say something great big,141.284
68500763_31421960,songbird,184.298
68500763_25485652,let her go,74.897
68500763_47034512,always on my mind,73.336
68500763_32480776,wind beneath my wings,123.694
68500763_34003146,all the man i need,150.888
68661233_29716690,need you now,107.943
68661233_34374355,safe and sound capital,117.948
68661233_31871812,let it go,147.464
68661233_34368353,fuckin perfect,182.015
68661233_23939418,because of you,140.039
68661233_45811856,i wont give up,136.703
68661233_34371431,clarity,128.0
68661233_32131358,from this moment,135.803
68661233_35288045,alone heart,175.088
68661233_22233627,love song,123.052
68700363_43377560,i dreamed a dream,90.488
68700363_44911760,part of your world,89.357
68700363_44598929,human,94.01
68700363_39528494,the first cut is deepest,160.043
68700363_39526345,my heart will go on,99.195
68700363_49390888,try,93.858
68700363_40360494,let it go,147.464
68700363_45469575,at last,174.431
68700363_37735883,rainy days and mondays,74.72
68700363_37733028,im a slave 4 u,110.027
68722250_35887620,want u back,97.939
68722250_33705744,cups pitch perfect,129.964
68722250_35764140,whatcha say,144.036
68722250_33726646,when i was your man,72.795
68722250_30881122,this little light of mine,111.91
68722250_35700094,whatcha say,144.036
68722250_35804790,boyfriend,164.146
68722250_35806205,baby bieber,65.024
68722250_35802509,whatcha say,144.036
68722250_37611273,apologize,117.995
68846173_35936536,just the way you are,109.012
68846173_37180285,the lazy song,174.943
68846173_35523358,somewhere only we know,172.015
68846173_35629626,somewhere only we know,172.015
68846173_34335182,demons,89.938
68846173_33936821,it will rain,150.017
68846173_37181979,demons,89.938
68846173_38545914,when i was your man,72.795
68846173_35097908,forget you,145.992
68846173_35435748,omg,139.953
68874527_42508496,apologize,117.995
68874527_42515934,breakeven,94.023
68874527_42510598,cups pitch perfect,129.964
68874527_42510262,happy,83.096
68874527_42508794,im yours,150.953
68874527_44197437,a thousand miles,94.931
68874527_44195923,im yours,150.953
68874527_42521620,counting stars,122.017
68874527_44187555,the climb,161.074
68874527_42625797,let her go,74.897
68922370_28468566,summertime sadness,111.968
68922370_23339829,15 seconds of fame,99.959
68922370_22714747,naturally,126.99
68922370_23192991,because of you,140.039
68922370_22845915,all i want for christmas,150.277
68922370_22843774,jingle bell rock,73.564
68922370_28088456,king of anything,119.003
68922370_23182192,gorilla,139.959
68922370_33484150,lights ellie,120.013
68922370_23350199,adore you,119.759
69096745_31122849,best song ever,118.491
69096745_33187652,burn,184.353
69096745_43171649,pompeii,127.435
69096745_43153792,summertime sadness,111.968
69096745_28451199,summertime sadness,111.968
69096745_42067051,i dreamed a dream,90.488
69096745_43145855,summertime sadness,111.968
69096745_36672665,radioactive,136.245
69096745_41964260,i dreamed a dream,90.488
69096745_30357181,demons,89.938
69164761_33100838,jesus take the wheel,76.572
69164761_32708165,say something great big,141.284
69164761_34015154,apologize,117.995
69164761_39468507,landslide,159.375
69164761_44520381,happy,83.096
69164761_50537953,stay with me,84.094
69164761_31552243,summertime sadness,111.968
69164761_43398597,amazing grace elvis,183.461
69164761_26657637,my heart will go on,99.195
69164761_47173169,if i aint got you,118.393
69251376_31194361,my heart will go on,99.195
69251376_31524431,can you feel the love tonight,166.765
69251376_31616922,blurred lines,120.002
69251376_31103859,linger,94.845
69251376_31193432,more than words,91.769
69251376_31195034,over the rainbow,85.6
69251376_31615402,radioactive,136.245
69251376_31614769,demons,89.938
69251376_31192375,zombie,166.96
69251376_31614270,the one i love,127.861
69411204_26009441,somewhere only we know,172.015
69411204_33391558,say something great big,141.284
69411204_31249892,songbird,184.298
69411204_37285370,happy,83.096
69411204_37200550,linger,94.845
69411204_36168909,you and i,97.998
69411204_24734144,name,134.17
69411204_37399239,summertime sadness,111.968
69411204_43656038,the first cut is deepest,160.043
69411204_36121737,stay rihanna,111.927
69443616_41218829,say something great big,141.284
69443616_27686021,home phillip phillips,121.029
69443616_27482759,house of the rising sun,117.2
69443616_26163950,brave,185.063
69443616_44363782,human,94.01
69443616_28235541,try,93.858
69443616_29365463,adore you,119.759
69443616_22856241,wake me up,124.102
69443616_33181937,burn,184.353
69443616_25813589,hallelujah,147.986
69557896_28565533,the rose,106.05
69557896_28939394,part of your world,89.357
69557896_35160268,songbird,184.298
69557896_24576135,crazy patsy,107.765
69557896_22613199,your song,128.172
69557896_28564132,house of the rising sun,117.2
69557896_23725063,the rose,106.05
69557896_27536542,the rose,106.05
69557896_24709980,wind beneath my wings,123.694
69557896_24102450,how great thou art,129.252
69668503_24445703,on my own,112.663
69668503_23622104,aint no sunshine,79.593
69668503_24440861,santeria,90.807
69668503_23616558,killing me softly,92.409
69668503_23618458,aint no sunshine,79.593
69668503_33268511,on my own,112.663
69668503_37079635,cups pitch perfect,129.964
69668503_23624004,aint no sunshine,79.593
69668503_24049411,you know im no good,103.383
69668503_23625903,lean on me,75.16
69766860_33069548,from this moment,135.803
69766860_45896439,i hope you dance,151.328
69766860_34187287,as long as you love me,139.691
69766860_32397632,killing me softly,92.409
69766860_31782909,the way you look tony,111.996
69766860_45606051,at last,174.431
69766860_47422003,ill be,159.909
69766860_28608218,the climb,161.074
69766860_25452070,you are not alone,119.878
69766860_30356365,kiss me ,149.936
69902249_47794385,my heart will go on,99.195
69902249_42889092,my heart will go on,99.195
69902249_47403858,my heart will go on,99.195
69902249_46736053,my heart will go on,99.195
69902249_42737221,my heart will go on,99.195
69902249_46734694,can you feel the love tonight,166.765
69902249_49724935,can you feel the love tonight,166.765
69902249_32979924,my heart will go on,99.195
69902249_31893791,my heart will go on,99.195
69902249_42751940,my heart will go on,99.195
70167169_49286652,hallelujah,147.986
70167169_34605981,one of us,82.228
70167169_34605470,hand in my pocket,92.259
70167169_43520167,brave,185.063
70167169_35653426,hallelujah,147.986
70167169_35475188,cups pitch perfect,129.964
70167169_34604440,hand in my pocket,92.259
70167169_37897098,stay rihanna,111.927
70167169_34605047,ironic,85.482
70167169_34609285,cups pitch perfect,129.964
70315264_42450291,have i told you lately,143.78
70315264_45636688,say something great big,141.284
70315264_25491640,name,134.17
70315264_28870628,all star,104.034
70315264_48085519,feel like makin love,85.126
70315264_25213009,candle in the wind,124.558
70315264_29246771,runaway train,117.341
70315264_35433380,a horse with no name,123.179
70315264_35253076,behind blue eyes,128.592
70315264_30849248,the one i love,127.861
70334891_45061104,cups pitch perfect,129.964
70334891_31335826,counting stars,122.017
70334891_35553595,when a man loves a woman,97.398
70334891_34351598,wake me up,124.102
70334891_45058581,always be my baby,78.946
70334891_35435279,summertime sadness,111.968
70334891_34356580,say something great big,141.284
70334891_35433188,let her go,74.897
70334891_21905106,my girl,104.566
70334891_45055198,hey there delilah,103.973
70351731_35425066,let it go,147.464
70351731_47808940,marry you,144.926
70351731_35086599,summertime sadness,111.968
70351731_42245948,because of you,140.039
70351731_35087703,say something great big,141.284
70351731_47785822,when i was your man,72.795
70351731_47807867,just the way you are,109.012
70351731_42103937,let it go,147.464
70351731_47793122,if i aint got you,118.393
70351731_23961974,the climb,161.074
70366197_40824894,happy,83.096
70366197_41259492,let it go,147.464
70366197_41433490,let it go,147.464
70366197_41629933,let it go,147.464
70366197_49014899,happy,83.096
70366197_43227220,let it go,147.464
70366197_41804302,let it go,147.464
70366197_41304818,let it go,147.464
70366197_41301672,let it go,147.464
70366197_41628859,let it go,147.464
70652717_40539936,hush little baby,77.728
70652717_41160696,when a man loves a woman,97.398
70652717_36743990,lights ellie,120.013
70652717_32455938,zombie,166.96
70652717_35426733,the way you look tony,111.996
70652717_33105902,love me again,126.03
70652717_47455480,the climb,161.074
70652717_49458910,stay with me,84.094
